matchday,team,opponent,xW,xD,xL,exp_pts,pts,played
1,Arsenal,Coventry,0.8001710455347328,0.1194721592007021,0.08035679526456516,2.5199852958049003,3,1
1,Coventry,Arsenal,0.08035679526456516,0.1194721592007021,0.8001710455347328,0.3605425449943976,0,1
1,Hull,Man United,0.37446168246035266,0.2759619733971236,0.34957634414252375,1.3993470207781815,3,1
1,Man United,Hull,0.34957634414252375,0.2759619733971236,0.37446168246035266,1.324691005824695,0,1
1,Ipswich,Sunderland,0.3979500744373008,0.2866403985163456,0.3154095270463537,1.480490621828248,3,1
1,Sunderland,Ipswich,0.3154095270463537,0.2866403985163456,0.3979500744373008,1.2328689796554069,0,1
1,Nott'm Forest,Leeds,0.38633818099050216,0.2997276950386778,0.31393412397082004,1.4587422380101842,0,1
1,Leeds,Nott'm Forest,0.31393412397082004,0.2997276950386778,0.38633818099050216,1.241530066951138,3,1
1,Everton,Crystal Palace,0.4847856688310105,0.2603544026968565,0.2548599284721329,1.7147114091898878,3,1
1,Crystal Palace,Everton,0.2548599284721329,0.2603544026968565,0.4847856688310105,1.0249341881132552,0,1
1,Brentford,Tottenham,0.5332496596862806,0.22804219842979037,0.23870814188392905,1.8277911774886322,3,1
1,Tottenham,Brentford,0.23870814188392905,0.22804219842979037,0.5332496596862806,0.9441666240815775,0,1
1,Man City,Bournemouth,0.5854781048843174,0.27012561992134826,0.14439627519433434,2.0265599345743004,3,1
1,Bournemouth,Man City,0.14439627519433434,0.27012561992134826,0.5854781048843174,0.7033144455043513,0,1
1,Brighton,Aston Villa,0.4781023660891803,0.22457276388196246,0.2973248700288573,1.6588798621495031,3,1
1,Aston Villa,Brighton,0.2973248700288573,0.22457276388196246,0.4781023660891803,1.1165473739685345,0,1
1,Newcastle,Liverpool,0.36517451838557086,0.27593776644897,0.3588877151654592,1.3714613216056826,1,1
1,Liverpool,Newcastle,0.3588877151654592,0.27593776644897,0.36517451838557086,1.3526009119453475,1,1
1,Fulham,Chelsea,0.378399049720759,0.2983642817612462,0.32323666851799476,1.4335614309235232,0,1
1,Chelsea,Fulham,0.32323666851799476,0.2983642817612462,0.378399049720759,1.2680742873152304,3,1
2,Crystal Palace,Man City,0.23725255369178153,0.18579736641713976,0.5769500798910787,0.8975550274924843,0,1
2,Man City,Crystal Palace,0.5769500798910787,0.18579736641713976,0.23725255369178153,1.9166476060903759,3,1
2,Liverpool,Nott'm Forest,0.5993454758159946,0.2249214462455663,0.17573307793843904,2.0229578736935503,1,1
2,Nott'm Forest,Liverpool,0.17573307793843904,0.2249214462455663,0.5993454758159946,0.7521206800608834,1,1
2,Bournemouth,Everton,0.49420852630050705,0.19984420758839663,0.30594726611109635,1.6824697864899176,1,1
2,Everton,Bournemouth,0.30594726611109635,0.19984420758839663,0.49420852630050705,1.1176860059216858,1,1
2,Coventry,Hull,0.36645137072854567,0.30010986523646555,0.3334387640349888,1.3994639774221025,0,1
2,Hull,Coventry,0.3334387640349888,0.30010986523646555,0.36645137072854567,1.300426157341432,3,1
2,Tottenham,Newcastle,0.3705856130827544,0.2953717860786956,0.33404260083855003,1.4071286253269586,0,1
