matchday,team,opponent,xW,xD,xL,exp_pts,pts,played
1,Bayern Munich,Stuttgart,0.8883744341346423,0.07917632317710488,0.03244924268825272,2.744299625581032,3,1
1,Stuttgart,Bayern Munich,0.03244924268825272,0.07917632317710488,0.8883744341346423,0.17652405124186304,0,1
1,RB Leipzig,M'gladbach,0.6208975101235016,0.25131258100219056,0.12778990887430783,2.1140051113726956,3,1
1,M'gladbach,RB Leipzig,0.12778990887430783,0.25131258100219056,0.6208975101235016,0.634682307625114,0,1
1,Mainz,SC Paderborn,0.4889172936217962,0.2656673347829246,0.24541537159527915,1.7324192156483131,1,1
1,SC Paderborn,Mainz,0.24541537159527915,0.2656673347829246,0.4889172936217962,1.001913449568762,1,1
1,Union Berlin,Ein Frankfurt,0.47302384488925736,0.2599335546424674,0.2670426004682753,1.6790050893102395,1,1
1,Ein Frankfurt,Union Berlin,0.2670426004682753,0.2599335546424674,0.47302384488925736,1.0610613560472935,1,1
1,Elversberg,Leverkusen,0.37679000298091914,0.28470544888695604,0.33850454813212477,1.4150754578297133,3,1
1,Leverkusen,Elversberg,0.33850454813212477,0.28470544888695604,0.37679000298091914,1.3002190932833304,0,1
1,FC Koln,Hoffenheim,0.3482318906586359,0.4532151883660323,0.1985529209753318,1.49791086034194,3,1
1,Hoffenheim,FC Koln,0.1985529209753318,0.4532151883660323,0.3482318906586359,1.0488739512920278,0,1
1,Dortmund,Hamburg,0.6368352844228609,0.23902256286162596,0.12414215271551324,2.1495284161302086,3,1
1,Hamburg,Dortmund,0.12414215271551324,0.23902256286162596,0.6368352844228609,0.6114490210081657,0,1
1,Freiburg,Werder Bremen,0.6595444654352859,0.19191805598985354,0.14853747857486055,2.1705514522957112,3,1
1,Werder Bremen,Freiburg,0.14853747857486055,0.19191805598985354,0.6595444654352859,0.6375304917144352,0,1
1,Augsburg,Schalke,0.5261688482512066,0.24760336322931578,0.22622778851947764,1.8261099079829355,3,1
1,Schalke,Augsburg,0.22622778851947764,0.24760336322931578,0.5261688482512066,0.9262867287877486,0,1
2,Stuttgart,FC Koln,0.7602242774866186,0.13012548918971453,0.1096502333236669,2.4107983216495703,0,0
2,FC Koln,Stuttgart,0.1096502333236669,0.13012548918971453,0.7602242774866186,0.45907618916071524,0,0
2,Werder Bremen,RB Leipzig,0.22145420594424187,0.29440751660984477,0.4841382774459133,0.9587701344425703,0,0
2,RB Leipzig,Werder Bremen,0.4841382774459133,0.29440751660984477,0.22145420594424187,1.7468223489475847,0,0
2,Hoffenheim,Dortmund,0.3331901795949256,0.27743570082742464,0.3893741195776498,1.2770062396122013,0,0
2,Dortmund,Hoffenheim,0.3893741195776498,0.27743570082742464,0.3331901795949256,1.445558059560374,0,0
2,Leverkusen,Union Berlin,0.6998188397145374,0.16328238272604884,0.13689877755941363,2.262738901869661,0,0
2,Union Berlin,Leverkusen,0.13689877755941363,0.16328238272604884,0.6998188397145374,0.5739787154042897,0,0
2,M'gladbach,Elversberg,0.42432658357649305,0.27360852030983734,0.30206489611366955,1.5465882710393164,0,0
2,Elversberg,M'gladbach,0.30206489611366955,0.27360852030983734,0.42432658357649305,1.1798032086508459,0,0
2,SC Paderborn,Freiburg,0.4081181332470489,0.26152427993791183,0.33035758681503935,1.4858786796790584,0,0
2,Freiburg,SC Paderborn,0.33035758681503935,0.26152427993791183,0.4081181332470489,1.25259704038303,0,0
2,Schalke,Bayern Munich,0.13408836731045312,0.1953264297707887,0.6705852029187582,0.5975915317021481,0,0
2,Bayern Munich,Schalke,0.6705852029187582,0.1953264297707887,0.13408836731045312,2.2070820385270635,0,0
2,Hamburg,Mainz,0.45813474557744077,0.26420160705399154,0.2776636473685677,1.6386058437863138,0,0
2,Mainz,Hamburg,0.2776636473685677,0.26420160705399154,0.45813474557744077,1.0971925491596948,0,0
2,Ein Frankfurt,Augsburg,0.5091168988472385,0.25794483617209063,0.23293826498067077,1.7852955327138063,0,0
2,Augsburg,Ein Frankfurt,0.23293826498067077,0.25794483617209063,0.5091168988472385,0.9567596311141029,0,0
3,Union Berlin,Schalke,0.40518656995851543,0.31771064107990554,0.27710278896157897,1.5332703509554517,0,0
3,Schalke,Union Berlin,0.27710278896157897,0.31771064107990554,0.40518656995851543,1.1490190079646425,0,0
3,Hoffenheim,Stuttgart,0.5744696731616395,0.19698530371411452,0.22854502312424593,1.9203943231990332,0,0
3,Stuttgart,Hoffenheim,0.22854502312424593,0.19698530371411452,0.5744696731616395,0.8826203730868523,0,0
3,Dortmund,SC Paderborn,0.5344326870654541,0.2968378201138658,0.1687294928206801,1.900135881310228,0,0
3,SC Paderborn,Dortmund,0.1687294928206801,0.2968378201138658,0.5344326870654541,0.803026298575906,0,0
3,Augsburg,Leverkusen,0.3786661114594235,0.28911277953317327,0.33222110900740315,1.425111113911444,0,0
3,Leverkusen,Augsburg,0.33222110900740315,0.28911277953317327,0.3786661114594235,1.2857761065553825,0,0
3,Mainz,Ein Frankfurt,0.48268086401435656,0.2893602689191006,0.22795886706654278,1.7374028609621703,0,0
