Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-27,2026-08-22,Udinese,Como,1,1,D
2026-27,2026-08-22,Inter,Monza,4,1,H
2026-27,2026-08-22,Genoa,Napoli,0,2,A
2026-27,2026-08-22,Parma,Cagliari,0,1,A
2026-27,2026-08-23,Frosinone,Juventus,0,1,A
2026-27,2026-08-23,Venezia,Lecce,0,2,A
2026-27,2026-08-23,Atalanta,Sassuolo,2,1,H
2026-27,2026-08-23,Torino,Milan,1,2,A
2026-27,2026-08-24,Bologna,Lazio,0,1,A
2026-27,2026-08-24,Roma,Fiorentina,4,0,H
