Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-27,2026-08-21,Marseille,Strasbourg,4,0,H
2026-27,2026-08-22,Lens,Auxerre,5,2,H
2026-27,2026-08-22,Le Mans,Brest,2,2,D
2026-27,2026-08-22,Troyes,Paris FC,0,0,D
2026-27,2026-08-22,Nice,Lorient,0,0,D
2026-27,2026-08-22,Toulouse,Lyon,0,2,A
2026-27,2026-08-23,Angers,Lille,0,2,A
2026-27,2026-08-23,Le Havre,Monaco,0,1,A
2026-27,2026-08-23,Paris SG,Rennes,2,2,D
